Date,Open,High,Low,Close,Volume
2006-01-03,46.92,47.18,46.15,47.08,16296700
2006-01-04,47.0,47.24,46.45,46.58,17757900
2006-01-05,46.58,46.83,46.32,46.64,14970900
2006-01-06,46.8,46.91,46.35,46.57,12599800
2006-01-09,46.72,46.97,46.36,46.6,15620000
2006-01-10,46.4,46.51,45.88,46.21,15634800
2006-01-11,46.06,46.25,45.75,46.1,14745100
2006-01-12,46.22,46.23,45.71,45.8,10546600
2006-01-13,45.83,46.0,45.68,45.8,10791300
2006-01-17,45.4,45.58,45.0,45.31,14606100
2006-01-18,45.32,45.65,44.92,45.18,10911300
2006-01-19,45.88,45.88,44.85,45.14,14584000
2006-01-20,45.0,45.15,44.17,44.19,25164400
2006-01-23,43.5,44.39,43.49,43.96,23459900
2006-01-24,44.08,44.68,44.04,44.24,13500300
2006-01-25,44.15,44.65,44.15,44.63,15132000
2006-01-26,45.0,45.16,44.67,44.9,18449500
2006-01-27,44.9,45.11,44.61,44.8,12250800
2006-01-30,44.75,45.35,44.25,44.48,14816000
2006-01-31,44.65,44.73,44.12,44.23,19151000
2006-02-01,44.1,44.24,43.86,43.95,15854800
2006-02-02,43.95,43.97,43.37,43.44,14745300
2006-02-03,43.3,43.55,42.75,43.09,17097100
2006-02-06,43.4,43.65,43.24,43.37,12554600
2006-02-07,43.6,43.87,43.46,43.49,13917200
2006-02-08,43.55,43.72,43.34,43.67,12564600
2006-02-09,43.75,44.05,43.7,43.83,13766200
2006-02-10,43.77,44.02,43.41,43.92,9039000
2006-02-13,43.7,43.96,43.3,43.7,8329500
2006-02-14,43.92,44.49,43.73,44.16,17049500
2006-02-15,44.07,44.6,43.93,44.36,12818500
2006-02-16,44.39,44.73,44.28,44.69,11773900
2006-02-17,44.78,45.32,44.52,44.66,11938900
2006-02-21,44.71,44.83,44.51,44.55,10381400
2006-02-22,44.45,45.17,44.42,45.08,14729700
2006-02-23,45.19,45.7,45.0,45.37,17345700
2006-02-24,44.94,45.89,44.94,45.72,13832400
2006-02-27,45.84,46.0,45.7,45.98,18460500
2006-02-28,45.77,46.05,45.75,45.85,20699100
2006-03-01,45.35,45.67,45.31,45.6,15587700
2006-03-02,45.25,45.36,44.9,45.15,14367500
2006-03-03,45.08,45.49,44.98,45.19,12401800
2006-03-06,45.1,45.3,44.91,45.21,11593800
2006-03-07,45.09,45.69,45.05,45.62,12823300
2006-03-08,45.42,45.89,45.42,45.71,14201200
2006-03-09,45.7,45.81,45.49,45.55,11922800
2006-03-10,45.5,46.0,45.45,45.95,12535400
2006-03-13,45.96,46.2,45.79,45.94,10090800
2006-03-14,46.0,46.4,45.94,46.26,14444600
2006-03-15,46.05,46.53,45.87,46.4,12677100
2006-03-16,46.48,46.9,46.48,46.76,13005400
2006-03-17,46.97,46.98,46.64,46.9,18970500
2006-03-20,46.71,47.0,46.56,46.9,11243700
2006-03-21,46.75,46.98,46.52,46.57,11775700
2006-03-22,46.4,47.14,46.4,46.99,11157200
2006-03-23,46.87,46.98,46.61,46.7,10793900
2006-03-24,46.78,47.0,46.66,46.9,10495100
2006-03-27,46.79,46.93,46.67,46.82,10450400
2006-03-28,46.62,47.01,45.95,46.06,16082600
2006-03-29,46.17,46.3,45.72,45.97,11836200
2006-03-30,45.8,46.09,45.48,45.61,12826100
2006-03-31,45.73,45.92,45.45,45.54,10968800
2006-04-03,45.85,46.22,45.66,45.68,11832600
2006-04-04,45.77,46.4,45.7,46.29,8828800
2006-04-05,46.21,46.57,46.21,46.55,10249600
2006-04-06,46.33,46.6,46.05,46.2,7795500
2006-04-07,46.41,46.47,45.66,45.74,9406600
2006-04-10,45.9,46.08,45.64,45.68,9100000
2006-04-11,45.75,46.0,45.45,45.56,8570900
2006-04-12,45.62,45.92,45.57,45.72,7157300
2006-04-13,45.73,45.93,45.6,45.73,7642200
2006-04-17,45.95,45.95,45.26,45.48,10618900
2006-04-18,45.45,46.3,45.37,45.96,16357000
2006-04-19,45.87,46.24,45.79,46.05,10493900
2006-04-20,46.6,46.85,46.11,46.28,17056800
2006-04-21,46.35,46.95,46.35,46.87,16502600
2006-04-24,46.85,47.14,46.71,47.07,12568100
2006-04-25,47.02,47.17,46.83,47.09,12677000
2006-04-26,47.1,47.78,47.05,47.71,19061200
2006-04-27,47.59,49.18,46.82,49.04,34555500
2006-04-28,48.93,49.98,48.9,49.92,29596200
2006-05-01,49.84,50.0,49.1,49.18,21093600
2006-05-02,49.26,49.66,49.26,49.46,19227800
2006-05-03,49.27,49.6,49.22,49.3,13810700
2006-05-04,49.55,49.95,49.53,49.94,15863000
2006-05-05,50.0,50.5,49.95,50.47,19401000
2006-05-08,50.2,50.32,50.0,50.11,10722300
2006-05-09,50.11,50.35,50.04,50.19,10343700
2006-05-10,50.03,50.44,49.74,50.17,11895300
2006-05-11,50.3,50.3,49.44,49.69,11227700
2006-05-12,49.69,49.85,49.13,49.2,15232200
2006-05-15,49.0,49.77,48.6,49.55,13371200
2006-05-16,49.62,49.8,49.39,49.64,8125400
2006-05-17,49.3,49.31,48.3,48.56,20638000
2006-05-18,48.65,49.04,48.09,48.12,13167000
